1	N	48
1	J	48
1	R	48
2	N	49
2	J	49
1	W	49
2	R	49
3	N	64
3	J	64
3	R	64
2	R	68
1	J	73
1	R	73
2	E	73
4	N	74
4	J	74
1	W	74
4	R	74
5	N	106
5	J	106
5	R	107
4	R	109
5	E	109
0	R	114
3	J	3066
3	R	3066
0	R	3066
4	R	4182
0	R	4182
4	R	4290
0	R	4290
4	R	4658
0	R	4658
4	R	4753
0	R	4753
4	R	5203
0	R	5203
4	R	5331
0	R	5331
4	R	6078
0	R	6078
4	R	6195
0	R	6195
4	R	6211
0	R	6211
4	R	6320
0	R	6320
4	R	6456
0	R	6456
4	R	6581
0	R	6581
4	R	6885
0	R	6885
4	R	7013
0	R	7013
4	R	7030
0	R	7030
4	R	7114
0	R	7114
4	R	7160
0	R	7160
4	R	7240
0	R	7240
4	R	7258
0	R	7259
4	R	7341
0	R	7341
4	R	8083
0	R	8084
4	R	8168
0	R	8168
4	R	8196
0	R	8196
4	R	8303
0	R	8303
4	R	9119
0	R	9119
4	R	9194
0	R	9194
4	R	9272
0	R	9272
4	R	9361
0	R	9361
4	R	9384
0	R	9384
4	R	9472
0	R	9472
4	R	10181
0	R	10181
4	R	10279
0	R	10279
4	R	10768
0	R	10768
4	R	10889
0	R	10889
4	R	10890
0	R	10890
4	R	10954
0	R	10954
4	R	11048
0	R	11048
4	R	11146
0	R	11146
4	R	11955
6	N	11957
6	J	11957
4	W	11958
6	R	11958
7	N	11962
7	J	11962
6	W	11963
7	R	11963
6	J	11998
6	R	11998
7	E	11998
8	N	12000
8	J	12000
6	W	12000
8	R	12000
6	J	12083
6	R	12083
8	E	12083
9	N	12084
9	J	12084
6	W	12084
9	R	12084
6	J	12111
6	R	12111
9	E	12111
10	N	12113
10	J	12113
6	W	12113
10	R	12113
6	J	12194
6	R	12194
10	E	12194
4	J	12196
4	R	12196
6	E	12196
11	N	12197
11	J	12197
11	R	12197
4	R	12200
11	E	12200
0	R	12200
4	R	13021
0	R	13021
4	R	13084
0	R	13084
4	R	13135
0	R	13135
4	R	13183
0	R	13183
4	R	13394
0	R	13394
4	R	13522
0	R	13522
4	R	13593
0	R	13593
4	R	13654
0	R	13654
4	R	13745
0	R	13750
4	R	13831
0	R	13831
4	R	16034
12	N	16035
12	J	16035
4	W	16036
12	R	16036
13	N	16038
13	J	16038
14	N	16038
14	J	16038
12	W	16038
14	R	16039
13	R	16054
15	N	16054
15	J	16054
13	W	16054
15	R	16055
14	R	16085
15	R	16100
14	R	16115
15	R	16130
14	R	16145
15	R	16160
14	R	16175
15	R	16190
14	R	16205
15	R	16220
14	R	16235
15	R	16245
0	R	16340
14	J	16346
14	R	16346
15	J	16446
15	R	16446
14	J	16550
14	R	16550
12	J	16550
12	R	16550
14	E	16550
12	W	16550
15	R	16550
13	J	16646
13	R	16646
15	E	16646
12	J	16646
12	R	16647
13	E	16647
4	J	16647
4	R	16647
12	E	16648
16	N	16648
16	J	16648
16	R	16649
4	R	16652
16	E	16652
0	R	16652
4	R	20025
0	R	20025
4	R	20086
0	R	20086
4	R	20248
0	R	20248
4	R	20250
0	R	20250
4	R	29001
0	R	29001
4	R	29069
0	R	29069
4	R	29325
0	R	29326
4	R	29399
0	R	29399
4	R	29512
0	R	29512
4	R	29608
0	R	29608
4	R	29629
0	R	29629
4	R	29735
0	R	29735
4	R	29766
0	R	29766
4	R	29874
0	R	29874
4	R	30342
1	J	30343
1	R	30343
4	E	30343
